TenureGroup,用户数,流失人数,流失率,平均订单数,平均优惠券数,平均返现,平均App时长,平均满意度,投诉率
新用户,508,272,0.5354330708661418,1.889763779527559,0.9625984251968503,142.44257874015747,2.5078740157480315,3.1791338582677167,0.38188976377952755
0-6个月,1642,425,0.25883069427527405,2.6839220462850184,1.7405602923264312,164.87205846528622,3.135809987819732,3.0907429963459196,0.28319123020706455
7-12个月,1584,156,0.09848484848484848,2.7474747474747474,1.595959595959596,163.3139393939394,2.8775252525252526,2.98989898989899,0.2563131313131313
13-24个月,1467,95,0.06475800954328562,3.704839809134288,2.0156782549420584,204.91599182004092,2.936605316973415,3.087934560327198,0.2822085889570552
24个月以上,429,0,0.0,3.5454545454545454,1.944055944055944,222.3400233100233,2.874125874125874,3.0536130536130535,0.2913752913752914
